CarID               Direction           Arrival-Time        Cross-Time          Wait-Time           
------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1                   E                   23:48:56            23:48:56            0.0                 
4                   E                   23:48:56            23:48:57            1.0                 
2                   S                   23:48:56            23:48:58            2.0                 
6                   S                   23:48:57            23:48:59            2.0                 
7                   S                   23:48:58            23:49:00            2.0                 
3                   W                   23:48:56            23:49:01            5.0                 
5                   W                   23:48:57            23:49:02            5.0                 
8                   W                   23:48:59            23:49:03            4.0                 
10                  W                   23:49:02            23:49:04            2.0                 
9                   E                   23:49:01            23:49:05            4.0                 
11                  E                   23:49:02            23:49:06            4.0                 
13                  E                   23:49:03            23:49:07            4.0                 
14                  E                   23:49:04            23:49:08            4.0                 
16                  E                   23:49:05            23:49:09            4.0                 
12                  S                   23:49:03            23:49:10            7.0                 
17                  S                   23:49:06            23:49:11            5.0                 
18                  S                   23:49:08            23:49:12            4.0                 
19                  S                   23:49:10            23:49:13            3.0                 
15                  W                   23:49:04            23:49:14            10.0                
20                  W                   23:49:10            23:49:15            5.0                 
21                  W                   23:49:11            23:49:16            5.0                 
0                   N                   23:48:56            23:49:17            21.0                
23                  E                   23:49:13            23:49:18            5.0                 
24                  E                   23:49:14            23:49:19            5.0                 
27                  E                   23:49:15            23:49:20            5.0                 
29                  E                   23:49:16            23:49:21            5.0                 
30                  E                   23:49:17            23:49:22            5.0                 
33                  E                   23:49:21            23:49:23            2.0                 
25                  S                   23:49:14            23:49:24            10.0                
28                  S                   23:49:15            23:49:25            10.0                
34                  S                   23:49:22            23:49:26            4.0                 
35                  S                   23:49:23            23:49:27            4.0                 
36                  S                   23:49:24            23:49:28            4.0                 
22                  W                   23:49:12            23:49:29            17.0                
26                  W                   23:49:14            23:49:30            16.0                
31                  W                   23:49:19            23:49:31            12.0                
32                  W                   23:49:20            23:49:32            12.0                
39                  W                   23:49:29            23:49:33            4.0                 
37                  E                   23:49:24            23:49:34            10.0                
40                  E                   23:49:30            23:49:35            5.0                 
42                  E                   23:49:32            23:49:36            4.0                 
45                  E                   23:49:33            23:49:37            4.0                 
38                  S                   23:49:27            23:49:38            11.0                
44                  S                   23:49:33            23:49:39            6.0                 
47                  S                   23:49:35            23:49:40            5.0                 
46                  E                   23:49:34            23:49:41            7.0                 
50                  S                   23:49:37            23:49:42            5.0                 
41                  W                   23:49:31            23:49:43            12.0                
52                  S                   23:49:38            23:49:44            6.0                 
48                  E                   23:49:35            23:49:45            10.0                
54                  S                   23:49:39            23:49:46            7.0                 
43                  W                   23:49:33            23:49:47            14.0                
56                  S                   23:49:40            23:49:48            8.0                 
53                  E                   23:49:38            23:49:49            11.0                
59                  S                   23:49:42            23:49:50            8.0                 
55                  E                   23:49:39            23:49:51            12.0                
61                  S                   23:49:43            23:49:52            9.0                 
58                  E                   23:49:41            23:49:53            12.0                
51                  W                   23:49:38            23:49:54            16.0                
63                  S                   23:49:46            23:49:55            9.0                 
