Train ID	Starting Point	Destination Point	Length(m)	Arrival Time	Departure Time
0	B	F	200	22:31:17.	22:31:22.
2	A	E	100	22:31:18.	22:31:24.
5	A	F	100	22:31:19.	22:31:26.
3	F	A	100	22:31:19.	22:31:28.
6	A	F	100	22:31:20.	22:31:30.
7	F	B	200	22:31:21.	22:31:33.
9	A	F	100	22:31:22.	22:31:35.
12	A	E	100	22:31:23.	22:31:37.
11	F	B	100	22:31:23.	22:31:39.
13	A	F	100	22:31:24.	22:31:41.
14	F	B	200	22:31:24.	22:31:44.
16	F	B	100	22:31:25.	22:31:46.
17	A	E	200	22:31:26.	22:31:49.
19	F	B	200	22:31:27.	22:31:52.
20	A	E	200	22:31:28.	22:31:55.
23	F	B	100	22:31:28.	22:31:57.
24	F	A	200	22:31:29.	22:32:00.
27	A	E	200	22:31:30.	22:32:03.
26	F	A	200	22:31:30.	22:32:06.
30	F	A	100	22:31:32.	22:32:08.
33	A	F	100	22:31:33.	22:32:10.
32	F	A	200	22:31:33.	22:32:13.
35	F	B	100	22:31:34.	22:32:15.
