Time		Event
---------------------
18:24:16   Police started playing cell phone!
18:24:20   Driver Honked!
18:24:30   Police started playing cell phone!
18:24:31   Driver Honked!
18:24:35   Police started playing cell phone!
18:24:39   Driver Honked!
18:24:48   Police started playing cell phone!
18:24:48   Driver Honked!
18:25:12   Police started playing cell phone!
18:25:12   Driver Honked!
18:25:18   Police started playing cell phone!
18:25:19   Driver Honked!
18:25:24   Police started playing cell phone!
18:25:25   Driver Honked!
18:25:33   Police started playing cell phone!
18:25:33   Driver Honked!
